timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
811244,-0.91,-0.27,0.23,25.51,25.33,-61.34
811253,-0.89,-0.3,0.21,32.04,33.69,-57.8
811262,-0.87,-0.33,0.16,31.62,40.1,-50.78
811270,-0.85,-0.41,0.03,29.91,47.18,-41.5
811279,-0.84,-0.45,-0.06,30.7,61.4,-35.4
811287,-0.83,-0.46,-0.03,34.91,83.01,-32.59
811296,-0.87,-0.43,0.34,35.4,102.72,-30.21
811304,-0.9,-0.44,0.27,36.25,100.52,-22.83
811313,-0.92,-0.48,0.17,25.33,86.79,-15.2
811322,-0.96,-0.43,0.32,10.44,75.56,-9.89
811330,-0.94,-0.19,0.16,-8,59.2,-4.88
811338,-0.94,-0.16,0.17,-21.06,46.08,7.93
811347,-0.92,-0.12,0.16,-27.16,40.71,24.17
811356,-0.92,-0.07,0.02,-33.33,36.13,41.02
811364,-0.91,-0.15,0.01,-37.48,37.66,59.27
811373,-0.99,-0.25,0.28,-46.33,38.82,70.68
811381,-1.02,-0.24,0.41,-43.95,32.96,74.22
811390,-1.09,-0.32,0.45,-38.02,14.95,69.58
811399,-1.09,-0.38,0.35,-32.41,-6.77,60.85
811407,-1.06,-0.32,0.24,-40.47,-29.17,46.63
811416,-1.02,-0.24,0.17,-47.55,-42.11,31.86
811424,-1,-0.14,0.14,-50.78,-46.51,20.39
811433,-0.98,-0.06,0.16,-51.45,-46.57,14.4
811441,-0.96,-0.03,0.14,-49.38,-44.86,13.85
811450,-0.97,-0.04,0.18,-48.83,-43.21,16.85
811459,-0.98,-0.07,0.23,-49.44,-43.21,22.46
811467,-0.98,-0.06,0.27,-49.68,-46.14,30.27
811476,-0.98,-0.15,0.47,-46.2,-52.67,36.8
811484,-0.98,-0.36,0.32,-28.5,-62.44,34.48
811492,-0.99,-0.46,0.14,-15.32,-69.21,21.42
811501,-1.01,-0.38,0.27,-18.74,-67.63,3.11
811510,-1,-0.33,0.33,-16.36,-65.73,-15.01
811518,-0.97,-0.27,0.32,-11.11,-67.08,-32.59
811527,-0.95,-0.17,0.29,-10.01,-69.82,-46.94
811536,-0.92,-0.06,0.2,-11.23,-70.74,-56.21
811544,-0.91,-0.01,0.22,-11.9,-65.8,-59.2
811552,-0.92,-0.02,0.3,-5.98,-56.21,-56.76
811561,-0.93,-0.08,0.23,6.65,-46.81,-53.04
811570,-0.94,-0.27,0.14,19.23,-37.35,-48.89
811579,-0.95,-0.25,0.09,21.61,-27.65,-47.73
811587,-0.93,-0.38,-0.04,21.79,-18.92,-45.17
811595,-0.93,-0.37,-0.12,18.43,-5.55,-44.86
811604,-0.93,-0.41,-0.28,17.15,12.02,-44.98
811613,-0.91,-0.39,-0.22,18.49,37.48,-45.47
811621,-0.9,-0.28,0.04,20.26,65,-45.29
811630,-0.91,-0.22,-0.1,22.46,77.7,-37.29
811638,-0.9,-0.25,-0.19,16.72,85.21,-24.6
811647,-0.92,-0.31,0.1,9.09,96.01,-12.33
811655,-0.96,-0.31,0.11,0.73,94.79,-3.3
811664,-0.98,-0.29,0.08,-9.7,85.27,4.27
811672,-0.97,-0.26,0.1,-20.39,75.2,13.18
811681,-0.96,-0.22,0.06,-30.4,65.06,22.4
811690,-0.91,-0.21,0.03,-34.67,60.97,32.59
811698,-0.9,0,-0.21,-41.32,63.35,42.54
811707,-0.91,0,0.01,-53.71,73.06,58.04
811715,-1,-0.02,0.43,-65.61,79.22,75.32
811724,-1.04,-0.02,0.72,-69.7,65.8,90.58
811732,-1.09,0.03,0.75,-71.11,32.9,99.3
811741,-1.04,-0.15,0.66,-56.27,-5,107.54
811749,-1.02,-0.33,0.39,-43.7,-37.72,104.19
811758,-1.04,-0.35,0.36,-41.08,-57.8,87.95
811767,-1.02,-0.32,0.34,-33.81,-68.24,67.63
811775,-1.01,-0.29,0.2,-24.84,-74.16,45.41
811784,-1.01,-0.18,0.25,-20.69,-74.22,25.63
811792,-1,-0.03,0.34,-19.23,-72.75,11.54
811801,-0.98,0.03,0.42,-15.01,-75.68,4.27
811810,-0.96,0.01,0.37,-9.89,-84.23,1.65
811818,-0.95,-0.02,0.33,-10.13,-94.54,0.06
811826,-0.94,-0.06,0.22,-7.02,-100.46,-1.1
