timestamp, ppg
11380825,509
11390490,507
11400527,501
11410562,502
11420565,508
11430600,509
11440634,505
11450641,505
11460680,510
11470719,504
11480727,508
11490767,502
11500803,507
11510810,501
11520850,507
11530888,509
11540896,507
11550935,509
11560974,510
11570983,512
11581023,511
11591064,508
11601070,508
11611107,510
11621149,507
11631157,503
11641198,508
11651241,501
11661282,505
11671292,509
11681335,508
11691378,508
11701390,506
11711429,499
11721469,502
11731478,505
11741515,502
11751552,509
11761559,506
11771596,506
11781633,505
11791637,506
11801675,508
11811710,507
11821724,502
11831769,506
11841811,505
11851824,508
11861860,504
11871900,502
11881909,506
11891948,505
11901986,505
11912025,506
11922034,505
11932073,504
11942110,503
11952116,508
11962153,499
11972188,501
11982191,508
11992226,512
12002260,516
12012269,520
12022306,518
12032343,526
12042348,527
12052384,521
12062424,524
12072433,524
12082470,517
12092503,515
12102507,510
12112542,513
12122578,507
12132584,507
12142617,504
12152654,501
12162689,508
12172696,511
12182731,510
12192767,510
12202770,504
12212800,509
12222832,509
12232834,509
12242866,509
12252899,502
12262905,502
12272943,507
12282979,508
12292983,508
12303020,503
12313055,507
12323060,511
12333099,501
12343136,502
12353141,507
12363181,503
12373220,505
12383231,510
12393272,508
12403313,510
12413352,507
12423358,514
12433394,507
12443432,503
12453445,506
12463487,501
12473528,508
12483537,507
12493575,509
12503616,510
12513625,507
12523663,502
12533702,506
12543710,509
12553751,510
12563793,509
12573800,509
12583842,508
12593882,511
12603890,509
12613934,509
12623977,508
12633988,506
12644028,510
12654070,505
12664113,505
12674123,510
12684162,504
12694204,505
12704219,507
12714266,511
12724310,508
12734324,504
12744371,510
12754416,504
12764429,509
12774473,509
12784516,508
12794531,508
12804575,509
12814620,508
12824636,507
12834683,505
12844729,502
12854744,504
12864792,507
12874840,510
12884853,512
12894891,508
12904932,511
12914975,519
12924989,519
12935032,522
12945073,525
12955084,526
12965126,521
12975168,525
12985179,518
12995221,523
13005263,522
13015273,518
13025317,518
13035361,517
13045372,515
13055413,509
13065454,512
13075468,511
13085510,509
13095552,504
13105562,512
