a1X,a1Y,a1Z,g1X,g1Y,g1Z,a2X,a2Y,a2Z,g2X,g2Y,g2Z
-0.916,-0.452,-0.021,134.216,20.325,0.244,19.61,-19.61,19.61,1.28,4.37,2.88
-0.054,-1.388,-0.409,193.909,92.346,-12.329,-3.65,-1.25,4.18,-1.11,1.24,0.16
-0.104,-0.886,-0.832,49.744,49.805,46.387,1.81,-0.74,5.95,-1.46,-2.46,1.53
-0.253,-0.422,-0.591,22.461,18.433,36.987,5.84,1.28,13.24,-0.99,-0.35,0.24
-0.209,-1.022,-0.675,84.534,11.841,13.733,4.12,-0.98,9.39,-1.25,-0.42,0.27
-0.182,-1.151,-0.686,85.327,9.033,18.494,4.47,-1.08,9.55,-1.01,-0.56,0.32
-0.179,-0.930,-0.639,44.250,-1.404,25.024,5.09,-1.06,10.75,-0.86,-0.47,0.31
-0.175,-0.897,-0.638,35.828,-3.540,23.987,4.49,-0.86,10.07,-0.83,-0.35,0.29
-0.140,-0.857,-0.626,31.921,-7.690,23.926,4.01,-1.43,9.36,-0.68,-0.39,0.22
-0.141,-0.810,-0.569,29.663,-8.911,23.315,4.17,-1.03,9.82,-0.74,-0.60,0.41
-0.171,-0.700,-0.521,29.602,-6.409,25.146,4.34,-0.00,10.31,-1.08,-0.60,0.56
-0.162,-0.733,-0.608,35.461,-5.127,27.527,3.96,-0.24,9.55,-1.19,-0.48,0.39
-0.158,-0.963,-0.849,49.500,-12.939,33.936,3.22,-0.73,8.04,-1.12,-0.53,0.25
-0.154,-1.006,-0.790,46.143,-20.630,36.621,4.63,-1.84,9.50,-0.85,-0.71,0.03
-0.174,-0.761,-0.486,14.771,-27.344,29.236,5.16,-1.97,10.66,-0.82,-0.58,0.02
-0.194,-0.673,-0.420,9.521,-17.883,23.865,4.58,-1.67,9.85,-0.86,-0.28,0.12
-0.098,-0.718,-0.701,20.752,1.221,15.198,4.29,-1.34,9.14,-0.79,-0.40,0.01
-0.054,-0.919,-0.788,35.828,0.610,18.188,4.72,-1.88,9.62,-0.71,-0.35,-0.04
-0.053,-0.831,-0.711,19.531,-11.475,21.973,5.68,-0.53,11.22,-0.82,0.09,-0.02
-0.092,-0.713,-0.485,21.790,-16.052,18.494,5.43,-0.57,12.33,-1.46,-0.03,0.29
-0.035,-0.778,-0.508,32.898,-12.085,23.682,4.82,-0.77,11.08,-2.05,0.41,0.54
0.010,-0.793,-0.665,44.495,-12.390,39.795,4.23,-2.34,10.11,-2.12,0.67,0.37
0.015,-0.841,-0.714,51.392,-11.353,43.823,4.04,-3.84,9.39,-1.92,0.48,0.34
-0.054,-0.863,-0.702,48.218,-8.911,40.466,4.90,-3.05,11.12,-1.94,0.87,0.34
-0.065,-0.816,-0.694,43.884,-4.761,37.659,3.90,-2.82,9.78,-1.78,1.30,0.03
-0.045,-0.774,-0.703,35.217,3.601,26.855,3.56,-3.96,8.50,-1.54,1.02,-0.28
-0.031,-0.816,-0.735,34.790,8.362,22.705,4.83,-3.65,10.72,-1.59,1.05,-0.27
0.050,-0.775,-0.791,27.100,11.230,22.339,5.12,-4.06,11.16,-1.63,1.96,-0.23
0.067,-0.668,-0.751,24.658,7.141,23.926,3.76,-2.30,9.85,-1.87,1.74,-0.31
0.127,-0.651,-0.863,35.706,-1.343,28.992,3.50,-3.11,8.97,-2.25,1.38,-0.33
0.064,-0.682,-0.842,41.626,-8.728,30.640,3.29,-6.41,7.11,-15.52,9.07,-4.28
-0.013,-0.756,-0.799,44.373,-13.733,30.090,-62.90,0.15,0.00,0.00,0.00,22.63
-0.053,-0.766,-0.784,34.180,-12.268,30.457,-62.90,0.15,0.00,0.00,0.00,22.63
-0.093,-0.619,-0.723,21.057,-12.207,28.748,-62.90,0.15,0.00,0.00,0.00,22.63
-0.103,-0.620,-0.696,17.944,-8.911,24.841,-62.90,0.15,0.00,0.00,0.00,22.63
