a1X,a1Y,a1Z,g1X,g1Y,g1Z,a2X,a2Y,a2Z,g2X,g2Y,g2Z
-0.773,-0.635,-0.293,-5.005,-8.423,0.854,5.30,5.86,7.58,0.07,0.24,0.11
-0.821,-0.606,-0.258,-5.615,-8.179,0.366,5.21,5.95,7.46,0.03,0.24,0.12
-0.846,-0.614,-0.236,-1.831,-1.465,0.427,5.08,6.15,7.31,-0.01,0.20,0.09
-0.790,-0.643,-0.277,0.671,3.113,2.930,5.09,6.18,7.28,-0.05,0.14,0.04
-0.727,-0.649,-0.295,-0.671,4.028,6.531,5.15,6.06,7.33,-0.07,0.13,-0.00
-0.727,-0.650,-0.290,-1.404,2.441,7.080,5.18,5.95,7.39,-0.10,0.13,-0.03
-0.737,-0.650,-0.285,-1.892,0.000,8.118,5.19,5.90,7.45,-0.14,0.15,-0.03
-0.753,-0.639,-0.267,-1.709,-0.671,8.789,5.12,5.88,7.42,-0.16,0.17,-0.03
-0.771,-0.657,-0.278,0.000,1.160,7.568,5.08,5.94,7.39,-0.18,0.16,-0.04
-0.762,-0.693,-0.304,0.854,2.136,8.179,5.14,5.92,7.47,-0.18,0.14,-0.05
-0.743,-0.689,-0.309,-4.333,1.953,7.202,5.19,5.86,7.48,-0.16,0.16,-0.06
-0.740,-0.663,-0.308,-8.057,1.770,5.249,5.23,5.79,7.51,-0.12,0.17,-0.07
-0.739,-0.673,-0.296,-8.301,-0.488,2.136,5.26,5.79,7.55,-0.09,0.18,-0.07
-0.736,-0.665,-0.286,-8.789,-1.282,2.441,5.26,5.79,7.56,-0.06,0.19,-0.06
-0.749,-0.644,-0.243,-9.094,-2.380,2.930,5.16,5.82,7.47,-0.03,0.22,-0.05
-0.745,-0.623,-0.231,-9.949,-1.770,1.892,5.02,5.90,7.35,-0.00,0.22,-0.04
-0.758,-0.625,-0.216,-9.766,-1.282,-0.732,4.91,5.99,7.27,0.02,0.21,-0.03
-0.761,-0.630,-0.233,-8.667,-1.038,-1.953,4.87,6.07,7.25,0.02,0.20,-0.02
-0.757,-0.672,-0.269,-6.897,-0.427,-1.648,4.90,6.07,7.29,0.02,0.18,-0.02
