timestamp, ppg
3805297,501
3815420,502
3825468,504
3835514,506
3845526,505
3855569,505
3865611,506
3875624,507
3885667,501
3895712,508
3905727,508
3915773,503
3925814,507
3935826,502
3945870,510
3955914,510
3965928,516
3975972,518
3986014,531
3996025,528
4006069,531
4016112,530
4026153,534
4036165,533
4046206,524
4056243,523
4066249,518
4076289,519
4086329,518
4096340,510
4106391,510
4116440,508
4126459,505
4136505,501
4146551,503
4156567,501
4166613,505
4176658,505
4186674,505
4196718,498
4206763,501
4216778,509
4226825,505
4236872,506
4246888,511
4256932,504
4266977,508
4276992,502
4287037,504
4297082,509
4307128,500
4317144,508
4327196,500
4337246,510
4347265,503
4357312,506
4367359,506
4377374,505
4387421,500
4397467,505
4407481,503
4417525,504
4427572,501
4437595,500
4447641,503
4457685,502
4467700,506
4477746,503
4487793,500
4497810,504
4507860,501
4517907,509
4527955,507
4537972,508
4548022,503
4558071,508
4568082,507
4578128,507
4588174,508
4598190,507
4608238,509
4618287,508
4628303,499
4638352,503
4648400,508
4658410,509
4668454,508
4678498,505
4688511,504
4698554,508
4708597,506
4718607,506
4728646,517
4738689,519
4748701,520
4758746,523
4768789,527
4778834,526
4788851,535
4798894,534
4808936,539
4818946,524
4828987,520
4839034,524
4849048,519
4859094,516
4869138,510
4879152,510
4889196,508
4899241,504
4909255,508
4919297,507
4929343,498
4939361,504
4949408,504
4959454,503
4969470,500
4979515,497
4989558,504
4999573,501
5009618,505
5019662,506
5029674,509
5039719,510
5049762,511
5059804,511
5069816,506
5079857,506
5089900,502
5099907,503
5109948,504
5119988,503
5129997,503
5140037,500
5150076,501
5160083,497
5170124,496
5180163,503
5190174,499
5200213,501
5210254,502
5220263,507
5230297,503
5240331,501
5250340,498
5260378,499
5270416,506
5280424,505
5290463,505
5300501,504
5310541,502
5320551,505
5330595,504
5340639,499
5350653,504
5360697,504
5370743,502
5380757,495
5390799,500
5400842,500
5410851,497
5420890,501
5430930,502
5440939,498
5450980,500
5461024,497
5471038,499
5481080,499
5491123,504
5501132,503
5511175,504
5521215,515
5531255,516
5541264,521
5551306,521
5561346,530
5571352,527
5581389,535
5591427,531
5601433,532
5611467,530
5621500,521
5631504,525
5641540,522
5651577,514
5661582,510
5671621,511
5681663,508
5691673,508
5701714,503
5711755,506
5721770,502
5731811,494
5741852,502
5751866,503
5761908,504
5771951,504
5781961,506
5792002,500
5802046,507
5812086,503
5822095,507
5832133,509
5842174,510
5852182,513
5862221,510
5872261,510
5882268,514
5892306,509
5902346,503
5912355,503
5922393,506
5932432,509
5942443,501
5952484,506
5962530,502
5972544,508
5982589,509
5992636,499
6002651,505
6012698,508
6022740,505
6032751,505
6042794,507
6052835,505
6062877,509
6072887,508
6082926,509
6092966,511
6102975,509
6113015,509
6123054,509
6133064,506
6143101,507
6153142,508
6163153,506
6173194,507
6183237,503
6193247,509
6203290,504
6213333,507
6223344,511
6233387,514
6243430,517
6253441,523
6263485,528
6273528,529
6283536,531
6293576,535
6303620,536
6313664,528
6323675,532
6333719,526
6343765,527
6353776,522
6363816,516
6373861,515
6383874,512
6393918,514
6403961,509
6413975,512
6424019,508
6434063,500
6444076,499
6454117,499
6464160,500
6474173,504
6484215,506
6494256,498
6504269,508
6514311,509
6524354,503
6534367,508
6544411,506
6554453,507
6564494,501
6574506,505
6584547,506
6594590,507
6604603,504
6614642,508
6624682,511
6634695,505
6644736,504
6654772,504
6664777,502
6674819,510
6684856,508
6694863,503
6704903,510
6714942,507
6724950,503
6734988,509
6745025,502
6755032,509
6765069,509
6775110,506
6785117,508
6795155,508
6805193,503
6815230,505
6825238,506
6835278,512
6845320,507
6855328,506
6865366,504
6875404,501
6885409,507
6895444,510
6905480,507
6915486,500
6925526,504
6935566,507
6945573,514
6955609,518
6965648,520
6975655,525
6985693,528
6995730,533
7005737,538
7015771,537
7025809,535
7035845,536
7045850,527
7055889,531
7065928,523
7075936,525
7085974,522
7096015,515
7106023,517
7116060,519
7126095,508
7136102,513
7146142,512
7156180,509
7166189,506
7176225,505
7186261,507
7196268,499
7206305,506
7216341,505
7226349,498
7236389,501
7246428,500
7256439,504
7266480,503
7276521,501
7286530,503
7296571,502
7306611,500
7316650,500
7326661,501
7336701,501
7346743,495
7356756,500
7366797,498
7376838,493
7386848,498
7396889,498
7406930,499
7416937,499
7426978,502
7437017,499
7447027,496
7457062,502
7467103,498
7477112,501
7487154,499
7497195,502
7507205,507
7517248,505
7527288,505
7537298,507
7547338,506
7557377,508
7567419,504
7577428,508
7587469,510
7597507,510
7607519,505
7617558,507
7627599,502
7637609,501
7647652,507
7657695,500
7667705,506
7677745,506
7687780,510
7697786,516
7707825,517
7717864,528
7727870,526
7737909,535
7747948,533
7757957,532
7767998,531
7778040,533
7788082,532
7798089,520
7808128,521
7818167,523
7828175,517
7838212,512
7848250,516
7858257,513
7868298,505
7878339,505
7888350,505
7898390,505
7908431,500
7918440,503
7928479,498
7938520,501
7948531,505
7958572,503
7968612,503
7978622,509
7988664,508
7998707,505
8008718,502
8018758,502
8028798,508
8038810,508
8048853,506
8058895,504
8068932,497
8078939,501
8088978,497
8099017,500
8109026,497
8119066,489
8129107,490
8139117,489
8149159,490
8159204,492
8169219,497
8179265,499
8189310,497
8199325,500
8209370,499
8219413,496
8229424,495
8239465,495
8249506,496
8259517,497
8269555,494
8279595,498
8289605,501
8299644,498
8309682,494
8319719,501
8329728,502
8339766,503
8349804,505
8359811,505
8369849,503
8379889,506
8389899,507
8399938,512
8409979,511
8419990,520
8430031,518
8440076,531
8450089,536
8460129,534
8470173,537
8480187,543
8490230,537
8500275,533
8510286,532
8520327,527
8530368,524
8540378,515
8550421,510
8560462,513
8570503,499
8580516,498
8590559,500
8600606,503
8610619,499
8620662,498
8630705,497
8640717,499
8650760,502
8660802,498
8670814,502
8680858,508
8690899,502
8700910,505
8710950,503
8720990,505
8731000,509
8741040,505
8751080,508
8761090,512
8771129,514
8781167,516
8791207,506
8801216,509
8811255,510
8821297,511
8831304,509
8841341,506
8851379,508
8861389,511
8871429,507
8881467,510
8891475,499
8901512,504
8911547,505
8921558,505
8931597,504
8941636,505
8951647,500
8961687,499
8971725,501
8981736,500
8991777,498
9001826,496
9011838,496
9021880,496
9031917,493
9041957,503
9051966,502
9062007,500
9072046,503
9082053,498
9092093,506
9102133,510
9112139,513
9122176,517
9132214,527
9142222,528
9152261,535
9162301,534
9172311,539
9182349,539
9192387,536
9202393,528
9212429,527
9222467,527
9232475,521
9242513,515
9252550,513
9262558,513
9272596,511
9282636,508
9292675,505
9302683,502
9312721,503
9322760,497
9332766,495
9342803,489
9352838,496
9362845,496
9372885,499
9382922,495
9392929,497
9402969,501
9413006,504
9423012,496
9433049,504
9443087,500
9453094,500
9463132,506
9473170,510
9483179,506
9493219,506
9503259,508
9513261,507
9523293,503
9533329,497
9543365,503
9553370,503
9563406,497
9573446,501
9583454,499
9593494,501
9603537,504
9613548,497
9623592,503
9633634,500
9643648,504
9653689,501
9663732,504
9673745,501
9683789,507
9693830,503
9703842,507
9713883,505
9723921,504
9733932,508
9743974,500
9754015,499
9764026,503
9774065,503
9784106,507
9794148,501
9804159,503
9814200,513
9824241,519
9834252,521
9844291,531
9854333,534
9864345,542
9874387,533
9884427,537
9894430,531
9904467,525
9914505,524
9924511,521
9934550,519
9944590,512
9954596,506
9964634,508
9974671,504
9984677,504
9994716,502
10004762,501
10014777,499
10024825,497
10034873,503
10044890,504
10054935,502
10064975,501
10075015,506
10085022,505
10095059,502
10105097,505
10115106,508
10125148,505
10135192,502
10145200,500
10155239,501
10165283,497
10175293,499
10185334,494
10195370,496
10205376,495
10215417,487
10225461,492
10235475,485
10245520,494
10255565,492
10265576,496
10275619,492
10285661,488
10295673,493
10305715,492
10315759,498
10325801,501
10335810,502
10345851,498
10355889,498
10365899,501
10375939,502
10385979,505
10395991,507
10406032,505
10416075,506
10426087,507
10436130,506
10446173,505
10456186,506
10466226,507
10476261,508
10486269,506
10496311,506
10506352,511
10516363,507
10526402,503
10536439,507
10546478,518
10556489,519
10566530,527
10576574,529
10586586,529
10596628,535
10606671,540
10616685,544
10626727,544
10636770,540
10646782,537
10656825,537
10666869,527
10676881,525
10686926,520
10696969,514
10706981,509
10717025,510
10727069,507
10737081,504
10747120,505
10757158,501
10767161,500
10777203,497
10787243,498
10797284,496
10807293,495
10817332,495
10827367,493
10837377,501
10847420,496
10857464,503
10867476,501
10877515,507
10887557,504
10897569,509
10907613,506
10917656,510
10927666,505
10937709,505
10947755,502
10957767,507
10967810,510
10977854,510
10987867,506
10997911,505
11007954,506
11017968,504
11028014,502
11038056,499
11048097,499
11058108,501
11068152,499
11078194,497
11088206,504
11098248,504
11108295,504
11118310,508
11128355,505
11138400,499
11148415,503
11158460,504
11168506,508
11178521,505
11188564,505
11198605,506
11208618,504
11218663,509
11228705,508
11238720,499
11248764,505
11258809,504
11268824,504
11278868,497
11288914,505
11298959,501
11308974,504
11319020,507
11329062,511
11339074,513
11349119,522
11359163,523
11369174,526
11379216,529
11389261,530
11399274,539
11409316,535
11419362,531
11429373,534
11439419,534
11449466,532
11459480,527
11469524,522
11479564,512
11489578,514
11499625,510
11509673,509
11519685,508
11529731,502
11539775,502
11549817,499
11559833,496
11569878,499
11579924,494
11589938,501
11599981,500
11610027,503
11620048,503
11630095,507
11640139,503
11650155,504
11660204,504
11670251,504
11680266,509
11690311,508
11700359,507
11710372,508
11720410,500
11730449,501
11740460,503
11750504,502
11760549,509
11770563,506
11780606,508
11790652,508
11800699,502
11810713,504
11820754,505
11830795,505
11840807,505
11850850,505
11860892,501
11870905,506
11880946,505
11890987,504
11901003,502
11911049,508
11921092,504
11931106,506
11941149,497
11951191,499
11961201,508
11971242,508
11981283,506
11991290,509
12001328,507
12011368,506
12021376,507
12031418,513
12041463,517
12051477,521
12061522,530
12071567,536
12081611,539
12091625,544
12101669,544
12111711,549
12121724,539
12131766,545
12141804,537
12151815,537
12161855,525
12171893,525
12181902,521
12191941,516
12201983,512
12211994,505
12222037,504
12232081,496
12242092,503
12252132,498
12262173,500
12272186,497
12282227,498
12292267,498
12302276,503
12312317,503
12322356,500
12332394,502
12342405,506
12352446,506
12362483,510
12372493,508
12382532,504
12392570,511
12402580,509
12412618,504
12422659,507
12432667,506
12442704,511
12452742,508
12462753,506
12472792,506
12482827,506
12492834,503
12502875,504
12512915,505
12522920,506
12532958,503
12542997,506
12553006,506
12563046,504
12573088,501
12583129,502
12593139,499
12603177,506
12613218,508
12623227,509
12633270,511
12643311,503
12653319,511
12663355,509
12673394,511
12683400,511
12693433,503
12703479,508
12713494,505
12723533,506
12733572,504
12743580,507
12753619,511
12763659,515
12773668,522
12783704,530
12793744,532
12803753,542
12813795,548
12823833,546
12833872,553
12843883,550
12853926,541
12863967,541
12873978,534
12884017,532
12894059,526
12904071,521
12914110,514
12924148,508
12934152,506
12944191,515
12954230,495
12964238,491
12974275,489
12984314,492
12994324,489
13004371,496
13014419,492
13024434,492
13034477,497
13044517,505
13054527,502
13064568,509
13074607,509
13084651,509
13094661,510
13104699,509
13114739,511
13124749,510
13134787,510
13144827,511
13154835,508
13164876,505
13174918,502
13184931,501
13194970,504
13205011,504
13215025,505
13225067,497
13235110,506
13245120,504
13255163,506
13265207,498
13275219,506
13285262,504
13295309,505
13305325,506
13315369,504
13325408,504
13335447,501
13345457,503
13355499,498
13365540,508
13375551,505
13385596,504
13395640,501
13405654,505
13415699,499
13425741,508
13435754,506
13445794,505
13455837,508
13465851,507
13475892,510
13485935,503
13495948,507
13505990,513
13516032,519
13526042,530
13536085,532
13546124,536
13556135,541
13566180,535
13576220,544
13586257,537
13596266,539
13606308,535
13616350,525
13626360,522
13636401,519
13646439,514
13656446,510
13666486,508
13676528,498
13686541,501
13696583,501
13706624,495
13716637,499
13726678,499
13736718,496
13746727,498
13756768,498
13766807,499
13776817,498
13786860,497
13796905,501
13806919,506
13816968,504
13827015,504
13837055,508
13847062,510
13857103,510
13867146,510
13877157,502
13887201,509
13897244,510
13907256,504
13917298,509
13927340,505
13937350,508
13947392,498
13957432,504
13967442,500
13977486,497
13987530,496
13997545,503
14007587,502
14017631,506
14027644,502
14037685,499
14047724,503
14057731,505
14067771,505
14077813,509
14087856,501
14097866,503
14107905,503
14117943,509
14127946,509
14137984,504
14148021,506
14158030,505
14168074,508
14178116,511
14188126,510
14198169,508
14208211,512
14218224,519
14228267,527
14238307,536
14248319,533
14258359,540
14268398,543
14278411,533
14288454,537
14298497,536
14308509,535
14318550,532
14328592,531
14338632,517
14348643,520
14358683,518
14368725,506
14378732,514
14388771,500
14398810,506
14408820,504
14418861,505
14428903,504
14438914,497
14448955,503
14458992,502
14469002,501
14479044,504
14489088,505
14499098,504
14509139,503
14519181,507
14529193,504
14539235,505
14549278,511
14559321,506
14569332,506
14579376,508
14589421,511
14599436,508
14609482,506
14619527,504
14629544,508
14639589,509
14649633,509
14659641,501
14669681,501
14679726,492
14689739,501
14699782,507
14709829,510
14719846,504
14729890,506
14739936,509
14749951,504
14759994,506
14770032,504
14780041,504
14790082,505
14800124,506
14810167,503
14820180,502
14830224,504
14840268,504
14850282,504
14860328,500
14870374,506
14880387,512
14890427,511
14900471,512
14910480,525
14920520,529
14930566,534
14940581,529
14950624,533
14960665,539
14970676,535
14980720,532
14990764,525
15000776,523
15010817,522
15020861,517
15030873,512
15040916,514
15050959,510
15060970,505
15071012,503
15081057,497
15091103,496
15101117,502
15111164,499
15121208,495
15131224,491
15141266,498
15151310,499
15161321,503
15171366,496
15181410,497
15191425,498
15201471,507
15211516,505
15221534,508
15231586,504
15241635,498
15251648,500
15261694,503
15271740,505
15281753,505
15291794,508
15301829,508
15311832,507
15321870,504
15331909,505
15341949,503
15351960,504
15362001,503
15372042,502
15382052,506
15392093,498
15402135,504
15412147,502
15422188,504
15432229,502
15442238,502
15452278,503
15462316,500
15472324,505
15482364,500
15492404,502
15502411,499
15512452,500
15522495,504
15532507,497
15542549,499
15552594,504
15562606,504
15572649,505
15582690,511
15592735,515
15602748,518
15612791,524
15622832,534
15632843,536
15642884,535
15652927,534
15662939,532
15672980,535
15683019,532
15693026,525
15703062,527
15713102,523
15723109,511
15733148,511
15743187,508
15753196,504
15763234,498
15773269,503
15783280,498
15793320,500
15803360,496
15813399,493
15823406,497
15833446,499
15843488,499
15853502,500
15863539,500
15873575,501
15883580,501
15893621,505
15903662,510
15913673,510
15923714,512
15933757,510
15943768,509
15953810,512
15963852,511
15973863,512
15983904,513
15993948,508
16003957,508
16013996,511
16024035,510
16034047,509
16044086,505
16054127,508
16064137,500
16074181,506
16084225,507
16094266,502
16104274,505
16114313,509
16124355,500
16134370,501
16144416,509
16154460,498
16164472,509
16174519,505
16184564,509
16194578,507
16204622,503
16214667,506
16224682,507
16234725,509
16244772,509
16254785,507
16264827,508
16274869,513
16284881,514
16294923,524
16304963,524
16315005,529
16325015,533
16335053,539
16345094,538
16355108,536
16365151,531
16375193,534
16385203,527
16395247,523
16405292,518
16415303,514
16425344,512
16435384,508
16445394,508
16455436,499
16465480,502
16475489,498
16485530,501
16495569,493
16505580,497
16515621,496
16525663,495
16535677,492
16545721,500
16555765,501
16565811,504
16575824,505
16585867,499
16595905,508
16605913,503
16615951,503
16625989,500
16635999,507
16646038,506
16656079,509
16666093,500
16676137,506
16686176,501
16696185,504
16706224,504
16716267,499
16726280,505
16736322,502
16746363,505
16756374,504
16766415,499
16776454,508
16786461,506
16796501,502
16806540,506
16816580,507
16826589,502
16836629,508
16846671,503
16856683,501
16866726,505
16876766,507
16886774,499
16896813,502
16906852,502
16916863,498
16926903,503
16936943,497
16946955,501
16956998,505
16967042,504
16977056,510
16987098,509
16997139,508
17007151,518
17017195,523
17027238,528
17037251,529
17047290,533
17057327,534
17067335,527
17077376,531
17087417,525
17097459,526
17107468,521
17117509,520
17127550,517
17137561,507
17147603,508
17157645,503
17167657,504
17177698,498
17187737,495
17197746,500
17207786,495
17217825,497
17227834,495
17237875,494
17247917,499
17257927,502
17267967,499
17278008,501
17288020,503
17298064,498
17308102,509
17318113,508
17328153,506
17338195,505
17348234,504
17358241,508
17368278,506
17378317,501
17388326,505
17398366,506
17408411,504
17418424,502
17428468,505
17438512,504
17448527,502
17458566,501
17468604,505
17478610,503
17488648,502
17498685,504
17508693,505
17518736,506
17528776,507
17538784,504
17548824,504
17558867,501
17568879,499
17578924,507
17588965,501
17599007,505
17609014,506
17619056,507
17629095,507
17639107,508
17649151,499
17659192,511
17669203,508
17679246,500
17689287,504
17699298,506
17709338,511
17719380,513
17729391,520
17739434,528
17749477,533
17759492,531
17769539,534
17779580,535
17789592,537
17799637,538
17809681,534
17819694,534
17829738,519
17839783,522
17849827,519
17859842,510
17869886,508
17879928,501
17889940,501
17899978,498
17910022,496
17920038,499
17930085,494
17940127,494
17950141,498
17960185,495
17970227,498
17980240,503
17990282,505
18000325,506
18010335,504
18020381,508
18030424,509
18040438,509
18050481,510
18060524,503
18070535,505
18080580,506
18090627,504
18100672,501
18110685,511
18120728,506
18130772,507
18140784,508
18150823,510
18160866,505
18170880,503
18180921,504
18190960,504
18200970,504
18211010,504
18221052,504
18231063,500
18241104,504
18251146,504
18261157,502
18271197,505
18281238,500
18291247,500
18301286,505
18311321,500
18321329,499
18331366,500
18341402,502
18351442,504
18361452,499
18371496,507
18381542,501
18391554,499
18401596,506
18411638,509
18421651,502
18431694,503
18441737,507
18451747,519
18461792,523
18471837,524
18481851,526
18491894,529
18501938,523
18511952,525
18521999,527
18532043,524
18542054,524
18552097,514
18562141,512
18572153,516
18582195,507
18592239,512
18602278,508
18612287,507
18622330,505
18632369,505
18642379,498
18652422,497
18662462,501
18672473,497
18682515,496
18692555,501
18702564,507
18712602,506
18722642,504
18732652,508
18742693,505
18752732,506
18762742,506
18772783,506
18782823,507
18792832,508
18802869,510
18812901,508
18822908,501
18832945,511
18842984,509
18853025,509
18863037,509
18873077,505
18883121,506
18893138,504
18903187,506
18913234,504
18923243,502
18933282,497
18943321,496
18953327,501
18963363,498
18973405,499
18983417,506
18993455,504
19003491,504
19013499,505
19023539,504
19033579,503
19043588,499
19053627,505
19063669,503
19073682,506
19083726,501
19093766,504
19103803,506
19113815,501
19123857,512
19133899,507
19143911,511
19153946,516
19163984,522
19173995,529
19184035,525
19194074,530
19204082,529
19214124,530
19224169,531
19234184,527
19244227,529
19254270,525
19264282,523
19274324,516
19284366,511
19294377,511
19304417,510
19314455,505
19324492,506
19334500,504
19344543,502
19354590,503
19364610,503
19374652,503
19384694,506
19394705,503
19404747,501
19414788,504
19424799,509
19434841,506
19444883,512
19454893,509
19464931,511
19474969,514
19484976,504
19495016,509
19505054,510
19515066,508
19525106,511
19535145,505
19545152,509
19555191,510
19565229,504
19575272,507
19585283,501
19595322,503
19605360,504
19615370,510
19625411,503
19635456,508
19645470,506
19655518,504
19665563,507
19675578,508
19685620,504
19695661,506
19705673,505
19715716,504
19725761,506
19735772,502
19745813,505
19755858,508
19765869,510
19775914,510
19785955,510
19795970,518
19806012,521
19816054,524
19826095,527
19836106,535
19846149,532
19856191,539
19866205,543
19876252,540
19886300,536
19896317,541
19906363,530
19916407,524
19926419,528
19936463,514
19946507,513
19956521,515
19966565,506
19976610,499
19986623,497
19996662,500
20006703,498
20016714,496
20026757,493
20036797,493
20046806,495
20056846,495
20066886,501
20076898,503
20086939,505
20096980,504
20107023,505
20117033,505
20127076,506
20137117,510
20147125,507
20157167,501
20167205,511
20177215,510
20187257,506
20197301,506
20207314,509
20217356,507
20227401,502
20237412,506
20247455,504
20257499,508
20267511,503
20277553,501
20287598,506
20297610,508
20307651,507
20317694,507
20327738,508
20337752,507
20347794,501
20357839,502
20367853,508
20377894,508
20387938,505
20397952,504
20407996,506
20418039,502
20428054,505
20438096,508
20448138,509
20458150,509
20468189,512
20478232,513
20488246,522
20498291,525
20508333,530
20518343,535
20528384,539
20538424,532
20548434,541
20558476,540
20568518,539
20578561,532
20588574,532
20598621,528
20608666,519
20618678,515
20628719,511
20638762,512
20648775,505
20658820,502
20668864,501
20678876,493
20688921,492
20698967,489
20708981,494
20719024,489
20729069,492
20739082,492
20749127,495
20759171,498
20769186,490
20779229,498
20789271,498
20799284,490
20809327,492
20819371,494
20829417,502
