timestamp, ppg
37867201,511
37877056,509
37887101,505
37897153,513
37907206,522
37917223,526
37927269,521
37937320,528
37947336,531
37957386,530
37967438,526
37977459,526
37987509,521
37997558,523
38007576,515
38017624,512
38027673,510
38037689,507
38047737,510
38057786,510
38067804,508
38077853,508
38087900,498
38097916,501
38107959,508
38118004,501
38128020,504
38138065,498
38148110,509
38158157,507
38168171,506
38178214,504
38188258,505
38198271,509
38208317,508
38218364,511
38228381,507
38238428,507
38248476,504
38258493,503
38268540,506
38278585,508
38288602,503
38298648,502
38308691,506
38318706,501
38328755,508
38338804,504
38348823,504
38358875,505
38368924,507
38378944,503
38388990,501
38399034,504
38409080,507
38419096,504
38429140,501
38439185,504
38449205,502
38459252,506
38469300,506
38479318,503
38489366,508
38499414,503
38509429,505
38519472,504
38529516,503
38539530,511
38549575,507
38559616,498
38569630,508
38579677,502
38589724,505
38599740,505
38609784,501
38619830,503
38629847,511
38639897,508
38649942,518
38659988,521
38670003,515
38680049,519
38690096,522
38700112,528
38710162,527
38720210,531
38730228,529
38740278,521
38750325,522
38760343,517
38770389,511
38780435,508
38790446,513
38800491,504
38810534,509
38820547,503
38830591,506
38840633,500
38850645,506
38860688,507
38870733,499
38880744,507
38890785,504
38900829,500
38910869,507
38920883,502
38930926,505
38940973,507
38950987,501
38961031,508
38971078,508
38981091,505
38991132,508
39001176,503
39011189,505
39021234,500
39031282,506
39041303,505
39051354,506
39061407,504
39071426,504
39081473,505
39091518,498
39101534,502
39111580,498
39121626,505
39131645,503
39141692,507
39151739,507
39161756,506
39171803,507
39181850,503
39191898,500
39201914,503
39211964,498
39222013,503
39232029,507
39242077,504
39252124,500
39262143,505
39272187,502
39282236,505
39292256,509
39302306,510
39312355,506
39322377,504
39332429,505
39342486,504
39352507,506
39362554,509
39372604,507
39382625,504
39392677,508
39402728,515
39412745,522
39422794,516
39432841,526
39442890,528
39452908,527
39462956,521
39473006,523
39483022,522
39493070,521
39503120,520
39513138,515
39523188,510
39533238,513
39543259,504
39553308,510
39563357,500
39573376,499
39583426,496
39593474,503
39603490,494
39613537,494
39623585,501
39633603,501
39643651,501
39653698,503
39663742,503
39673755,503
39683803,506
39693850,505
39703863,509
