timestamp, ppg
13526248,511
13536160,504
13546189,516
13556248,518
13566306,524
13576331,526
13586381,526
13596424,532
13606439,531
13616485,530
13626531,525
13636578,515
13646595,520
13656640,519
13666683,511
13676699,509
13686747,503
13696793,506
13706810,506
13716859,505
13726906,510
13736923,503
13746969,503
13757017,506
13767040,496
13777090,506
13787140,505
13797159,501
13807209,503
13817256,506
13827272,505
13837321,502
13847368,500
13857390,497
13867442,504
13877492,502
13887511,502
13897561,508
13907610,510
13917659,505
13927675,505
13937726,501
13947773,506
13957789,497
13967839,502
13977892,506
13987912,500
13997962,502
14008012,503
14018031,501
14028082,499
14038134,503
14048157,505
14058210,506
14068261,498
14078284,505
14088336,502
14098389,503
14108411,506
14118465,506
14128520,508
14138575,504
14148597,505
14158653,501
14168703,500
14178725,500
14188775,504
14198824,498
14208840,500
14218890,503
14228937,498
14238956,507
14249007,499
14259059,500
14269081,505
14279133,496
14289186,500
14299205,493
14309258,503
14319307,502
14329327,498
14339377,504
14349422,505
14359441,506
14369490,508
14379540,513
14389557,518
14399607,516
14409658,525
14419706,530
14429725,529
14439774,526
14449823,525
14459841,523
14469889,520
14479937,517
14489955,511
14500001,513
14510047,502
14520066,504
14530114,505
14540167,502
14550192,500
14560247,494
14570298,500
14580314,500
14590363,498
14600411,501
14610429,497
14620476,504
14630524,503
14640542,501
14650592,506
14660644,503
14670696,503
14680718,504
14690770,511
14700817,508
14710834,504
14720882,507
14730929,499
14740948,502
14750994,505
14761043,500
14771061,496
14781111,499
14791163,501
14801183,504
14811233,501
14821281,504
14831301,498
14841352,495
14851403,501
14861426,500
14871474,501
14881522,493
14891541,497
14901590,498
14911639,504
14921687,505
14931705,505
14941749,506
14951796,506
14961815,502
14971862,507
14981905,506
14991919,509
15001969,506
15012020,509
15022039,503
15032087,506
15042133,502
15052146,505
15062189,501
15072236,504
15082252,504
15092298,504
15102346,498
15112365,502
15122410,504
15132457,506
15142505,496
15152524,508
15162571,502
15172619,508
15182639,509
15192689,514
15202742,522
15212763,524
15222813,528
15232861,530
15242883,522
15252934,527
15262985,516
15273011,521
15283068,515
15293123,512
15303146,509
15313200,507
15323253,511
15333275,506
15343329,503
15353379,503
15363398,495
15373449,501
15383500,500
15393522,499
15403572,498
15413623,495
15423672,499
15433690,499
15443740,495
15453791,493
15463812,502
15473864,501
15483915,503
15493936,507
15503987,510
15514040,508
15524063,504
15534115,511
15544164,512
15554183,504
15564235,510
15574286,506
15584306,508
15594357,510
15604409,506
15614430,503
15624482,506
15634533,505
15644556,505
15654610,502
15664663,498
15674714,503
15684734,500
15694785,504
15704838,505
15714860,503
15724911,497
15734962,497
15744986,501
15755036,497
15765086,497
15775104,498
15785152,487
15795203,495
15805223,491
15815275,491
15825329,489
15835350,498
15845403,492
15855452,499
15865473,500
15875527,503
15885583,506
15895638,508
15905659,505
15915710,506
15925762,512
15935781,513
15945830,527
15955880,524
15965897,533
15975945,535
15985993,540
15996011,537
16006058,537
16016105,532
16026122,533
16036172,525
16046219,528
16056236,520
16066283,519
16076331,514
16086350,512
16096401,512
16106449,510
16116466,509
16126517,506
16136568,505
16146615,499
16156630,502
16166677,501
16176726,497
16186743,500
16196790,495
16206838,495
16216857,503
16226907,501
16236955,499
16246975,508
16257026,510
16267076,507
16277094,509
16287144,514
16297193,513
16307213,510
16317262,513
16327312,512
16337330,512
16347381,512
16357432,507
16367449,512
16377497,512
16387544,505
16397557,510
16407603,508
16417649,507
16427695,511
16437708,508
16447754,511
16457798,505
16467812,507
