timestamp, ppg
19032080,519
19041679,520
19051699,527
19061751,531
19071801,527
19081824,528
19091877,531
19101930,530
19111981,527
19122002,527
19132053,527
19142103,524
19152124,520
19162176,517
19172226,516
19182242,509
19192290,508
19202341,507
19212362,506
19222415,505
19232466,506
19242487,497
19252534,504
19262579,500
19272596,502
19282648,507
19292699,505
19302720,507
19312770,504
19322822,505
19332842,510
19342894,503
19352944,501
19362990,503
19373006,506
19383058,505
19393108,504
19403128,503
19413180,502
19423231,503
19433255,500
19443306,498
19453360,499
19463379,503
19473428,505
19483478,500
19493502,501
19503558,499
19513615,500
19523637,505
19533689,504
19543742,507
19553766,505
19563821,504
19573873,506
19583897,504
19593949,507
19604004,501
19614057,507
19624080,504
19634132,503
19644187,506
19654205,505
19664257,502
19674311,507
19684333,504
19694384,504
19704437,502
19714458,504
19724511,504
19734565,502
19744586,500
19754638,511
19764691,503
19774715,510
19784770,512
19794823,514
19804849,520
19814904,522
19824960,527
19834986,517
19845040,518
19855095,522
19865147,516
19875166,515
19885216,513
19895267,513
19905286,508
19915336,502
19925386,507
19935408,505
19945458,506
19955505,504
19965522,500
19975571,507
19985621,502
19995643,504
20005695,505
20015747,499
20025767,507
20035820,502
20045872,507
20055893,511
20065945,510
20075997,512
20086019,512
20096071,514
20106122,512
20116170,510
20126187,506
20136238,509
20146290,511
20156311,505
20166359,501
20176408,504
20186431,504
20196483,504
20206534,508
20216554,498
20226605,507
20236655,505
20246673,505
20256723,501
20266773,506
20276796,499
20286847,507
20296898,510
20306919,502
20316970,508
20327020,509
20337039,508
20347091,506
20357140,508
20367191,505
20377212,510
20387263,506
20397315,504
20407337,508
20417387,506
20427436,502
20437455,510
20447505,510
20457555,508
20467575,511
20477624,505
20487678,508
20497703,512
20507749,516
20517799,518
20527822,522
20537872,523
20547921,523
20557940,525
20567989,526
20578039,521
20588059,525
20598110,524
20608161,514
20618212,516
20628233,516
20638284,510
20648336,508
20658359,507
20668412,509
20678464,499
20688488,501
20698541,504
20708595,506
20718618,504
20728670,508
20738725,507
20748745,507
20758794,508
20768844,505
20778864,508
20788914,510
20798967,509
20808984,514
20819030,514
20829079,512
20839095,509
20849141,508
20859189,509
20869238,507
20879258,501
20889308,501
20899361,502
20909382,506
20919433,504
20929484,509
20939505,512
20949556,506
20959607,511
20969626,510
20979676,509
20989727,510
20999749,511
21009802,503
21019853,508
21029871,509
21039921,502
21049972,512
21059993,506
21070043,506
21080095,502
21090116,506
21100163,510
21110210,512
21120252,508
21130264,512
21140306,507
21150349,506
21160364,508
21170410,504
21180457,515
21190475,518
21200523,514
21210573,521
21220591,528
21230639,525
21240686,524
21250701,532
21260745,530
21270792,527
21280809,527
21290860,528
21300910,522
21310924,517
21320968,515
21331014,516
21341028,513
21351074,504
21361121,506
21371165,500
21381180,504
21391224,507
21401264,500
21411278,503
21421325,501
21431374,506
21441392,505
21451443,510
21461492,505
21471510,508
21481557,502
21491603,504
21501618,510
21511659,508
21521705,507
21531720,502
21541767,505
21551814,508
21561831,507
21571880,506
21581929,505
21591946,501
21601996,506
21612047,501
21622096,502
21632116,504
21642167,506
21652216,507
21662234,502
21672281,501
21682329,504
21692346,506
21702393,505
21712444,508
21722466,509
21732520,509
21742571,508
21752591,502
21762639,503
21772691,505
21782711,511
21792760,504
21802808,508
21812825,504
21822867,509
21832912,509
21842927,512
21852974,512
21863019,509
21873063,512
21883080,521
21893125,522
21903172,525
21913187,526
21923240,529
21933292,524
21943315,518
21953365,518
21963416,523
21973435,522
21983484,518
21993532,508
22003552,516
22013602,512
