timestamp, ppg
71336125,508
71345743,506
71355755,510
71365797,507
71375841,510
71385856,505
71395900,508
71405944,511
71415957,505
71426000,510
71436042,514
71446056,504
71456099,508
71466137,512
71476146,505
71486190,509
71496232,510
71506273,506
71516284,504
71526328,508
71536373,506
71546386,503
71556430,507
71566478,508
71576496,503
71586542,508
71596589,507
71606605,509
71616651,510
71626696,508
71636713,508
71646758,510
71656803,510
71666819,507
71676864,509
71686909,507
71696923,505
71706970,503
71717014,509
71727029,510
71737074,502
71747120,505
71757164,505
71767179,508
71777222,510
71787264,510
71797278,509
71807324,511
71817370,510
71827386,508
71837435,508
71847483,510
71857501,506
71867550,510
71877600,510
71887619,509
71897670,506
71907723,506
71917742,502
71927791,509
71937840,511
71947860,506
71957910,507
71967959,509
71977978,515
71988030,521
71998078,518
72008124,527
72018142,524
72028189,528
72038237,527
72048253,519
72058300,521
72068345,514
72078362,515
72088407,519
72098455,516
72108468,513
72118514,514
72128558,512
72138571,510
72148617,509
72158665,502
72168681,509
72178733,505
72188784,509
72198805,503
72208856,507
72218905,511
72228926,507
72238978,503
72249030,508
72259082,512
72269103,512
72279151,510
72289203,509
72299224,509
72309274,512
72319322,513
72329340,508
72339392,504
72349441,512
72359461,508
72369511,503
72379560,508
72389580,508
72399628,504
72409678,507
72419696,506
72429746,502
72439797,505
72449816,506
72459863,506
72469908,504
72479917,508
72489960,500
72500000,504
72510044,509
72520060,508
72530109,509
72540152,508
72550167,509
72560215,508
72570262,502
72580280,509
72590326,509
72600371,508
72610395,510
72620451,504
72630504,506
72640526,510
72650583,510
72660638,508
72670661,505
72680714,511
72690760,507
72700778,511
72710824,511
72720872,501
72730888,511
72740932,511
72750977,504
72761022,508
72771037,510
72781081,508
72791126,505
72801140,504
72811185,504
72821230,507
72831243,503
72841292,502
72851342,509
72861359,516
72871402,520
72881448,520
72891465,515
72901513,519
72911561,523
72921579,522
72931629,526
72941676,520
72951694,518
72961747,514
72971799,519
72981820,516
72991870,513
73001919,509
73011964,509
73021981,515
73032031,513
73042082,509
73052100,508
73062147,508
73072191,506
73082205,504
73092252,503
73102298,507
73112312,507
73122359,508
73132406,503
73142422,511
73152470,507
73162517,509
73172532,508
73182579,502
73192625,509
73202640,510
73212686,512
73222732,504
73232749,504
73242797,508
73252844,503
73262891,507
73272907,508
73282953,504
73292998,504
73303017,510
73313064,506
73323104,506
73333117,507
73343161,502
73353205,503
73363213,506
73373249,509
73383291,509
73393307,504
73403350,509
73413393,508
73423409,509
73433453,510
73443497,505
73453511,509
73463556,509
73473601,503
73483614,510
73493658,511
73503705,510
73513748,504
73523760,502
73533802,509
73543846,508
73553862,504
73563908,509
73573954,506
73583965,510
73594010,505
73604056,503
73614071,509
73624115,504
73634164,510
73644180,505
73654224,512
73664269,505
73674283,516
73684339,518
73694393,512
73704409,521
73714456,522
73724506,522
73734528,520
73744579,518
73754629,523
73764677,522
73774696,517
73784747,521
73794797,515
73804819,510
73814870,515
73824922,509
73834942,513
73844994,510
73855042,510
73865058,509
73875110,507
73885158,502
73895176,498
73905229,509
73915280,504
73925301,501
73935353,506
73945401,509
73955423,505
73965473,503
73975523,511
73985543,510
73995590,509
74005641,510
74015690,512
74025708,512
74035757,508
74045808,509
74055828,510
74065877,506
74075924,507
74085939,506
74095988,502
74106035,509
74116051,502
74126100,501
74136147,501
74146168,508
74156217,509
74166268,509
74176289,500
74186338,507
74196388,508
74206408,505
74216461,510
74226512,506
74236533,505
74246591,500
74256648,507
74266703,507
74276725,507
74286778,510
74296833,510
74306859,503
74316914,502
74326967,508
74336986,507
74347036,502
74357085,504
74367104,505
74377153,511
74387203,507
74397225,508
74407273,505
74417323,503
74427343,505
74437390,500
74447439,506
74457458,504
74467506,507
74477554,508
74487572,514
74497620,516
74507666,520
74517714,514
74527730,523
74537774,523
74547823,529
74557840,519
74567886,527
74577935,528
74587950,521
74597997,520
74608044,525
74618060,519
74628109,516
